idno,speech-encoded,author-short,title-short,year,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0243,yes,MarquezJ,HermanosSilencio,1896,Cuba,first,heterodiegetic,novela histórica,unknown
nh0244,yes,RoaBarcenaJM,QuintaModelo,1857,Mexico,historical,heterodiegetic,novela política,novela romántica
nh0245,yes,GuerreroPallaresT,NubeNegra,1874,Cuba,first,heterodiegetic,novela sentimental,unknown
nh0246,yes,TovarP,Ironias,1851,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0247,yes,CabralJV,AmeliaFloriani,1887,Argentina,first,heterodiegetic,novela histórica,novela romántica
nh0248,yes,CabralJV,SanTelmo,1897,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0249,no,CabralJV,LinaMontalvan,1880,Argentina,first,heterodiegetic,novela histórica,novela romántica
nh0250,no,OchagaviaMR,AngelDemonio,1857,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0251,no,RamirezJM,Avelina,1864,Mexico,first,autodiegetic,novela sentimental,novela romántica
nh0252,no,RamirezJM,Gabriela,1864,Mexico,first,autodiegetic,novela sentimental,novela romántica
nh0253,yes,CuellarJT,PecadoSiglo,1869,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0254,no,GarciaVellosoE,Neurosis,1900,Argentina,first,heterodiegetic,novela sentimental,novela naturalista
nh0255,no,SolarA,Rastaquouere,1890,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0256,no,VillafaneSI,DonLino,1886,Argentina,first,heterodiegetic,novela social,novela naturalista
